dataset,scenario,r,ai_acc,max_ai_num
dog,homo,3,-sigma,30
dog,homo,5,-sigma,30
dog,homo,10,-sigma,30
dog,homo,3,mean,30
dog,homo,5,mean,30
dog,homo,10,mean,30
dog,homo,3,max,30
dog,homo,5,max,30
dog,homo,10,max,30
dog,hetero,3,-sigma,30
dog,hetero,5,-sigma,30
dog,hetero,10,-sigma,30
dog,hetero,3,mean,30
dog,hetero,5,mean,30
dog,hetero,10,mean,30
dog,hetero,3,max,30
dog,hetero,5,max,30
dog,hetero,10,max,30
dog,hybrid,3,-sigma,30
dog,hybrid,5,-sigma,30
dog,hybrid,10,-sigma,30
dog,hybrid,3,mean,30
dog,hybrid,5,mean,30
dog,hybrid,10,mean,30
dog,hybrid,3,max,30
dog,hybrid,5,max,30
dog,hybrid,10,max,30
face,homo,3,-sigma,30
face,homo,5,-sigma,30
face,homo,3,mean,30
face,homo,5,mean,30
face,homo,3,+sigma,30
face,homo,5,+sigma,30
face,homo,3,max,30
face,homo,5,max,30
face,hetero,3,-sigma,30
face,hetero,5,-sigma,30
face,hetero,3,mean,30
face,hetero,5,mean,30
face,hetero,3,+sigma,30
face,hetero,5,+sigma,30
face,hetero,3,max,30
face,hetero,5,max,30
face,hybrid,3,-sigma,30
face,hybrid,5,-sigma,30
face,hybrid,3,mean,30
face,hybrid,5,mean,30
face,hybrid,3,+sigma,30
face,hybrid,5,+sigma,30
face,hybrid,3,max,30
face,hybrid,5,max,30
tiny,homo,2,-sigma,28
tiny,homo,2,mean,28
tiny,homo,2,max,28
tiny,hetero,2,-sigma,28
tiny,hetero,2,mean,28
tiny,hetero,2,max,28
tiny,hybrid,2,-sigma,32
tiny,hybrid,2,mean,32
tiny,hybrid,2,max,32
adult,homo,3,-sigma,28
adult,homo,5,-sigma,28
adult,homo,3,mean,28
adult,homo,5,mean,28
adult,homo,3,max,28
adult,homo,5,max,28
adult,hetero,3,-sigma,28
adult,hetero,5,-sigma,28
adult,hetero,3,mean,28
adult,hetero,5,mean,28
adult,hetero,3,max,28
adult,hetero,5,max,28
adult,hybrid,3,-sigma,24
adult,hybrid,5,-sigma,24
adult,hybrid,3,mean,24
adult,hybrid,5,mean,24
adult,hybrid,3,max,24
adult,hybrid,5,max,24
