dataset,scenario,method,ai_acc,r,num_ai,iter,convergence,accuracy,biased_accuracy,uc_p,uc_pih_0,uc_pih_1,uc_pih_2,uc_pih_3,uc_pih_4,uc_pia_0,uc_pia_1,uc_pia_2,uc_pia_3,uc_pia_4
adult,*,EMDS,*,5,0,0,-1,0.7911200807265388,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,GLAD,*,5,0,0,-1,0.8193743693239153,0.639344262295082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,OneCoinDS,*,5,0,0,-1,0.82744702320888,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=1000),*,5,0,0,-1,0.8244197780020182,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=2000),*,5,0,0,-1,0.8244197780020182,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=3000),*,5,0,0,-1,0.8234106962663976,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,EMDS,*,5,0,1,-1,0.7911200807265388,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,GLAD,*,5,0,1,-1,0.8193743693239153,0.639344262295082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,OneCoinDS,*,5,0,1,-1,0.82744702320888,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=1000),*,5,0,1,-1,0.8244197780020182,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=2000),*,5,0,1,-1,0.8234106962663976,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=3000),*,5,0,1,-1,0.8254288597376388,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,EMDS,*,5,0,2,-1,0.7911200807265388,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,GLAD,*,5,0,2,-1,0.8193743693239153,0.639344262295082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,OneCoinDS,*,5,0,2,-1,0.82744702320888,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=1000),*,5,0,2,-1,0.8264379414732593,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=2000),*,5,0,2,-1,0.8234106962663976,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=3000),*,5,0,2,-1,0.8264379414732593,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,EMDS,*,5,0,3,-1,0.7911200807265388,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,GLAD,*,5,0,3,-1,0.8193743693239153,0.639344262295082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,OneCoinDS,*,5,0,3,-1,0.82744702320888,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=1000),*,5,0,3,-1,0.8254288597376388,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=2000),*,5,0,3,-1,0.8254288597376388,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=3000),*,5,0,3,-1,0.8244197780020182,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,EMDS,*,5,0,4,-1,0.7911200807265388,0.7540983606557377,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,GLAD,*,5,0,4,-1,0.8193743693239153,0.639344262295082,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,OneCoinDS,*,5,0,4,-1,0.82744702320888,0.5737704918032787,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=1000),*,5,0,4,-1,0.8254288597376388,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=2000),*,5,0,4,-1,0.8254288597376388,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
adult,*,BDS(iter_sampling=3000),*,5,0,4,-1,0.8244197780020182,0.6065573770491803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
